date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:50:36	1447/1447	---M-Z	404	error ('Not%20Found')	text/html	etag:1602710258-ssl-df	https://feministcoalition2020.com/robots.txt		(from )
19:50:36	4347/4347	---M-Z	200	added ('OK')	text/html	etag:%2259dd7892a2d6a9738df06540e188e082-ssl-df%22	https://feministcoalition2020.com/	/tmp/feministco/feministcoalition2020.com/index.html	(from )
19:50:36	1252/1252	---M-Z	200	added ('OK')	text/css	etag:%225e328ace7383ee8d36c39874438b7c28-ssl-df%22	https://feministcoalition2020.com/css/reset.css	/tmp/feministco/feministcoalition2020.com/css/reset.css	(from https://feministcoalition2020.com/)
19:50:37	2345/2345	---M-Z	200	added ('OK')	text/css	etag:%22f64e536ba6f15a80fdf3d0b1632b85d5-ssl-df%22	https://feministcoalition2020.com/css/style.css	/tmp/feministco/feministcoalition2020.com/css/style.css	(from https://feministcoalition2020.com/)
19:50:38	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22d27504f30abf2fd864d09761e38f3f30-ssl%22	https://feministcoalition2020.com/favicon.ico	/tmp/feministco/feministcoalition2020.com/favicon.ico	(from https://feministcoalition2020.com/)
19:50:39	18968/18968	---M--	200	added ('OK')	image/png	etag:%226391f9b6db8ce42c9bd5ce8ed2b2de1b-ssl%22	https://feministcoalition2020.com/img/banner.png	/tmp/feministco/feministcoalition2020.com/img/banner.png	(from https://feministcoalition2020.com/)
19:50:40	23148/23148	---M--	200	added ('OK')	image/png	etag:%22b37c2fcfed8b22d0a48266de585ca56b-ssl%22	https://feministcoalition2020.com/img/logo.png	/tmp/feministco/feministcoalition2020.com/img/logo.png	(from https://feministcoalition2020.com/)
19:50:41	70/70	---M--	302	error ('Found')	text/plain	date:Thu,%2026%20Nov%202020%2017:06:23%20GMT	https://feministcoalition2020.com/daily-summary	/tmp/feministco/feministcoalition2020.com/daily-summary	(from https://feministcoalition2020.com/)
19:50:42	5240/5240	---M-Z	200	added ('OK')	text/html	etag:%2272e166b2c30adc23154bc8ad158feaf2-ssl-df%22	https://feministcoalition2020.com/statement-oct-22/	/tmp/feministco/feministcoalition2020.com/statement-oct-22/index.html	(from https://feministcoalition2020.com/)
19:50:42	4017/4017	---MCZ	200	added ('OK')	text/html	etag:%228a48aaafec4519d0b070c38e5e92174e-ssl-df%22	https://feministcoalition2020.com/who-we-are/	/tmp/feministco/feministcoalition2020.com/who-we-are/index.html	(from https://feministcoalition2020.com/)
19:50:43	3411/3411	---M-Z	200	added ('OK')	text/html	etag:%22615d90fce5104697e59b51d90b00f357-ssl-df%22	https://feministcoalition2020.com/members/	/tmp/feministco/feministcoalition2020.com/members/index.html	(from https://feministcoalition2020.com/)
19:50:43	70/70	---M--	302	error ('Found')	text/plain	date:Thu,%2026%20Nov%202020%2017:00:49%20GMT	https://feministcoalition2020.com/other-donations	/tmp/feministco/feministcoalition2020.com/other-donations	(from https://feministcoalition2020.com/)
19:50:43	2345/2345	---M-Z	200	added ('OK')	text/html	etag:%225f9eddd2b5094d3230f667a9a5d1b943-ssl-df%22	https://feministcoalition2020.com/brand/	/tmp/feministco/feministcoalition2020.com/brand/index.html	(from https://feministcoalition2020.com/)
19:50:44	70/70	---M--	302	error ('Found')	text/plain	date:Thu,%2026%20Nov%202020%2016:59:17%20GMT	https://feministcoalition2020.com/protests-supported	/tmp/feministco/feministcoalition2020.com/protests-supported	(from https://feministcoalition2020.com/)
19:50:44	4265/4265	---M-Z	200	added ('OK')	text/html	etag:%22cc466c9b1d583c14cd862a6a78951904-ssl-df%22	https://feministcoalition2020.com/statement-oct-20/	/tmp/feministco/feministcoalition2020.com/statement-oct-20/index.html	(from https://feministcoalition2020.com/)
19:50:45	6837/6837	---MCZ	200	added ('OK')	text/html	etag:%226440c1cc786d6e950eb80c02c432ea1f-ssl-df%22	https://feministcoalition2020.com/progress-report-oct-15/	/tmp/feministco/feministcoalition2020.com/progress-report-oct-15/index.html	(from https://feministcoalition2020.com/)
19:50:47	109145/109145	---M--	200	added ('OK')	image/png	etag:%2285661378f820132a910ec198589fc055-ssl%22	https://feministcoalition2020.com/progress-report-oct-15/breakdown.png	/tmp/feministco/feministcoalition2020.com/progress-report-oct-15/breakdown.png	(from https://feministcoalition2020.com/progress-report-oct-15/)
19:50:47	366584/366584	---M--	200	added ('OK')	image/png	etag:%225a8a284d5995b3c182789f747a70fe67-ssl%22	https://feministcoalition2020.com/progress-report-oct-15/states.png	/tmp/feministco/feministcoalition2020.com/progress-report-oct-15/states.png	(from https://feministcoalition2020.com/progress-report-oct-15/)
